epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1107.79,0.25952,0.42896,0.82301,0.99623,1,0.995,0.96437,0.24099,0.40457,0.7927,0.000519809,0.000519809,0.000519809
45,1133.58,0.26562,0.43866,0.82928,0.99645,1,0.995,0.97987,0.20034,0.38972,0.78932,0.00050606,0.00050606,0.00050606
46,1159.08,0.26078,0.4289,0.81961,0.99609,1,0.995,0.995,0.17077,0.39699,0.78778,0.000492312,0.000492312,0.000492312
47,1184.74,0.25019,0.41839,0.81619,0.99622,1,0.995,0.98818,0.18939,0.3957,0.79025,0.000478563,0.000478563,0.000478563
48,1210.54,0.25177,0.41258,0.82397,0.99666,1,0.995,0.97428,0.20944,0.40151,0.79075,0.000464815,0.000464815,0.000464815
49,1235.9,0.24961,0.44347,0.83999,0.99673,1,0.995,0.98985,0.17064,0.38622,0.78802,0.000451066,0.000451066,0.000451066
50,1262.37,0.23539,0.40854,0.80207,0.99698,1,0.995,0.98619,0.18485,0.38208,0.78903,0.000437317,0.000437317,0.000437317
51,1287.82,0.22938,0.40167,0.80005,0.99726,1,0.995,0.97808,0.23539,0.39561,0.79323,0.000423569,0.000423569,0.000423569
52,1313.8,0.21679,0.40067,0.81168,0.99698,1,0.995,0.99118,0.17751,0.3786,0.7864,0.00040982,0.00040982,0.00040982
53,1340.77,0.22232,0.39993,0.80147,0.9972,1,0.995,0.98989,0.15868,0.35911,0.78411,0.000396071,0.000396071,0.000396071
54,1366.85,0.21173,0.38724,0.80988,0.99733,1,0.995,0.97719,0.17712,0.35444,0.78598,0.000382323,0.000382323,0.000382323
55,1395.15,0.24569,0.39555,0.82729,0.99742,1,0.995,0.97637,0.22695,0.37243,0.78942,0.000368574,0.000368574,0.000368574
56,1426.69,0.22275,0.38274,0.81427,0.99728,1,0.995,0.98283,0.20161,0.37274,0.78681,0.000354826,0.000354826,0.000354826
57,1456.82,0.24538,0.40065,0.81821,0.99694,1,0.995,0.98272,0.17118,0.3638,0.78528,0.000341077,0.000341077,0.000341077
58,1485.72,0.21237,0.37098,0.80154,0.99685,1,0.995,0.98141,0.18221,0.36027,0.78497,0.000327328,0.000327328,0.000327328
59,1511.96,0.22099,0.38218,0.80984,0.99682,1,0.995,0.98494,0.18118,0.35569,0.78525,0.00031358,0.00031358,0.00031358
60,1538.9,0.2275,0.39107,0.81537,0.99688,1,0.995,0.99421,0.16466,0.33976,0.78331,0.000299831,0.000299831,0.000299831
61,1565.76,0.2152,0.37784,0.79647,0.99682,1,0.995,0.99035,0.18411,0.3367,0.78517,0.000286083,0.000286083,0.000286083
62,1592.17,0.21441,0.37091,0.81491,0.99682,1,0.995,0.98044,0.21658,0.34987,0.78849,0.000272334,0.000272334,0.000272334
63,1618.47,0.22412,0.36977,0.8165,0.99687,1,0.995,0.9919,0.19255,0.34125,0.78608,0.000258585,0.000258585,0.000258585
