epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.566,2.20783,3.52957,1.33187,0.02266,0.78452,0.36536,0.19686,1.3857,3.43268,0.98866,0.000364966,0.000364966,0.000364966
2,316.62,1.49277,1.52046,1.01687,0.8916,0.96617,0.94911,0.54722,1.38546,1.63275,1.01502,0.00058971,0.00058971,0.00058971
3,472.51,1.33932,1.14858,0.98543,0.96809,0.975,0.96507,0.63187,1.19983,1.02803,0.98656,0.000667802,0.000667802,0.000667802
4,628.192,1.28427,1.02864,0.96608,0.97019,0.975,0.97611,0.65159,1.17306,0.89814,0.97374,0.000451066,0.000451066,0.000451066
5,799.845,1.25092,0.97649,0.9653,0.96937,0.975,0.97453,0.63286,1.19523,0.86907,1.00672,0.000231088,0.000231088,0.000231088
